nodeId:ID,name,node_type,:LABEL
cytotoxic CD8 T EMRA cells,cytotoxic CD8 T EMRA cells,unknown,Term
community-acquired pneumonia,community-acquired pneumonia,pathways,Term
cytomegalovirus,cytomegalovirus,disease,Term
NKG2C,NKG2C,gene,Term
FcεRIγ,FcεRIγ,unknown,Term
cafs,cafs,cell type,Term
PFP,PFP,gene,Term
GZMB,GZMB,gene,Term
anti-tumor immune responses,anti-tumor immune responses,pathways,Term
tumor immunoregulation,tumor immunoregulation,pathways,Term
radiotherapy,radiotherapy,unknown,Term
CGAS,CGAS,gene,Term
IFNA,IFNA,gene,Term
ULBP2/5/6,ULBP2/5/6,gene,Term
tumor cell,tumor cell,cell type,Term
FHND6091,FHND6091,unknown,Term
abnormal cell,abnormal cell,cell type,Term
neuroblastoma,neuroblastoma,disease,Term
EXOSOME,EXOSOME,gene,Term
NK RECEPTORS,NK RECEPTORS,gene,Term
GD2,GD2,gene,Term
PDCD1,PDCD1,gene,Term
tumor,tumor,disease,Term
ΑΒT,ΑΒT,gene,Term
PD1,PD1,gene,Term
NFKB1,NFKB1,gene,Term
RELA,RELA,gene,Term
CCL3,CCL3,gene,Term
CCL4,CCL4,gene,Term
CCL5,CCL5,gene,Term
active immune cells,active immune cells,cell type,Term
KPC1,KPC1,gene,Term
CAR-NK,CAR-NK,gene,Term
γδ t cells,γδ t cells,cell type,Term
nk cell engagers,nk cell engagers,unknown,Term
activated,activated,cell type,Term
virus,virus,cell type,Term
DARATUMUMAB,DARATUMUMAB,gene,Term
CD38,CD38,unknown,Term
monocyte activation,monocyte activation,pathways,Term
CD86,CD86,unknown,Term
effector cells,effector cells,pathways,Term
DARA,DARA,gene,Term
colorectal cancer,colorectal cancer,disease,Term
cancer-related fatalities,cancer-related fatalities,pathways,Term
CAR-T,CAR-T,gene,Term
adverse tumor microenvironment,adverse tumor microenvironment,pathways,Term
limited infiltration,limited infiltration,pathways,Term
CEA,CEA,gene,Term
NKG2DL,NKG2DL,gene,Term
viral,viral,disease,Term
infections,infections,disease,Term
syndrome,syndrome,disease,Term
wild-type spike protein,wild-type spike protein,pathways,Term
CD40,CD40,unknown,Term
FCGR3A,FCGR3A,gene,Term
transient peripheral transcriptomic alterations,transient peripheral transcriptomic alterations,pathways,Term
melanoma cells,melanoma cells,cell type,Term
metastatic tumors,metastatic tumors,unknown,Term
b16 melanoma cells,b16 melanoma cells,cell type,Term
metastatic cancer cells,metastatic cancer cells,cell type,Term
durable tumor control,durable tumor control,pathways,Term
heterogeneous tumors,heterogeneous tumors,pathways,Term
abnormal cells,abnormal cells,cell type,Term
nk,nk,cell type,Term
germline-encoded receptors,germline-encoded receptors,pathways,Term
tissue,tissue,cell type,Term
cd8,cd8,cell type,Term
mscs,mscs,cell type,Term
artificial,artificial,cell type,Term
DNMT1,DNMT1,gene,Term
EBUL,EBUL,gene,Term
STING,STING,gene,Term
CGAMP,CGAMP,gene,Term
antitumor immunity,antitumor immunity,pathways,Term
tumor vulnerabilities,tumor vulnerabilities,pathways,Term
dendritic cells,dendritic cells,cell type,Term
cellular immunotherapies,cellular immunotherapies,pathways,Term
chimeric antigen receptors,chimeric antigen receptors,pathways,Term
adoptive cell persistence,adoptive cell persistence,pathways,Term
intratumoral trafficking,intratumoral trafficking,pathways,Term
NK cell antitumor activity,NK cell antitumor activity,unknown,Term
epinephrine,epinephrine,unknown,Term
physical exercise,physical exercise,unknown,Term
NK cell mobilization,NK cell mobilization,unknown,Term
NK cell tissue redistribution,NK cell tissue redistribution,unknown,Term
NK cell degranulation,NK cell degranulation,unknown,Term
CD107a,CD107a,unknown,Term
exercise group,exercise group,unknown,Term
control group,control group,unknown,Term
tumor spread,tumor spread,unknown,Term
innate immune cells,innate immune cells,cell type,Term
breast cancer,breast cancer,disease,Term
colon cancer,colon cancer,disease,Term
systemic bacterial infection,systemic bacterial infection,pathways,Term
HIF1A,HIF1A,gene,Term
CSF2,CSF2,gene,Term
hypoxic skin lesions,hypoxic skin lesions,pathways,Term
E6,E6,gene,Term
functional exhaustion,functional exhaustion,pathways,Term
functional association,functional association,unknown,Term
car-n(nk,car-n(nk,unknown,Term
natural killer,natural killer,cell type,Term
PVRL2,PVRL2,unknown,Term
neuroblastoma growth,neuroblastoma growth,pathways,Term
combined blockade of tigit and pd-l1,combined blockade of tigit and pd-l1,unknown,Term
chemotherapy,chemotherapy,unknown,Term
b lymphocytes,b lymphocytes,cell type,Term
memory b cells,memory b cells,cell type,Term
class-switched b cells,class-switched b cells,unknown,Term
naïve b cells,naïve b cells,unknown,Term
HLA-DR,HLA-DR,unknown,Term
CD69,CD69,gene,Term
IL7R,IL7R,gene,Term
CD27,CD27,gene,Term
lecs,lecs,cell type,Term
AT,AT,gene,Term
JAK2,JAK2,unknown,Term
JAK,JAK,gene,Term
IDASANUTLIN,IDASANUTLIN,gene,Term
MDM2,MDM2,unknown,Term
ZAR1,ZAR1,gene,Term
FNTA,FNTA,gene,Term
S63845,S63845,gene,Term
MCL1,MCL1,gene,Term
dexamethasone,dexamethasone,unknown,Term
infected,infected,cell type,Term
hemophagocytic lymphohistiocytosis,hemophagocytic lymphohistiocytosis,pathways,Term
novel feeder cells,novel feeder cells,cell type,Term
OX40L,OX40L,unknown,Term
solid tumors,solid tumors,cell type,Term
activated cells,activated cells,cell type,Term
LRP3,LRP3,gene,Term
hcc cells,hcc cells,cell type,Term
gene-engineered cell therapies,gene-engineered cell therapies,pathways,Term
natural killer cell,natural killer cell,cell type,Term
CRISPR/Cas9,CRISPR/Cas9,unknown,Term
drug-resistant,drug-resistant,disease,Term
tumor drug resistance,tumor drug resistance,pathways,Term
drug-resistant tumors,drug-resistant tumors,pathways,Term
neutrophils,neutrophils,unknown,Term
dcs,dcs,cell type,Term
macrophages,macrophages,cell type,Term
drug,drug,cell type,Term
tumor-associated immunosuppression,tumor-associated immunosuppression,pathways,Term
solid tumor infiltration,solid tumor infiltration,pathways,Term
tumor microenvironment,tumor microenvironment,unknown,Term
t cell types,t cell types,cell type,Term
innate t cells,innate t cells,cell type,Term
malignant cells killer,malignant cells killer,cell type,Term
ADCC,ADCC,unknown,Term
FCGR2A,FCGR2A,gene,Term
cell-intrinsic defense responses,cell-intrinsic defense responses,pathways,Term
immunogenic cell death,immunogenic cell death,pathways,Term
anticancer therapy,anticancer therapy,pathways,Term
chimeric,chimeric,cell type,Term
cytotoxic,cytotoxic,cell type,Term
KIT,KIT,gene,Term
mast cells,mast cells,cell type,Term
lymphocyte subsets,lymphocyte subsets,cell type,Term
GATA2,GATA2,gene,Term
TAL1,TAL1,gene,Term
FLI1,FLI1,gene,Term
RUNX1,RUNX1,gene,Term
LYL1,LYL1,gene,Term
LMO2,LMO2,gene,Term
ERG,ERG,gene,Term
immature,immature,cell type,Term
nk progenitors,nk progenitors,cell type,Term
tfs,tfs,cell type,Term
common lymphoid progenitors,common lymphoid progenitors,cell type,Term
D56,D56,gene,Term
human,human,cell type,Term
innate,innate,cell type,Term
optimized innate immune responses,optimized innate immune responses,pathways,Term
nk cell numbers,nk cell numbers,cell type,Term
CPT1A,CPT1A,gene,Term
S1PR5,S1PR5,gene,Term
CXCR4,CXCR4,gene,Term
IL12,IL12,gene,Term
cancerous cells,cancerous cells,cell type,Term
hepatocellular carcinoma,hepatocellular carcinoma,pathways,Term
MKI67,MKI67,gene,Term
tumor volume,tumor volume,pathways,Term
sleep deprivation,sleep deprivation,pathways,Term
immune cell types,immune cell types,cell type,Term
IL22,IL22,gene,Term
ILC3,ILC3,gene,Term
TBX21,TBX21,gene,Term
EOMES,EOMES,gene,Term
ILC1,ILC1,gene,Term
chronic inflammation,chronic inflammation,pathways,Term
papillary thyroid cancer,papillary thyroid cancer,disease,Term
IDO1,IDO1,gene,Term
TPH,TPH,gene,Term
kynurenine,kynurenine,unknown,Term
regulatory T cells,regulatory T cells,unknown,Term
CD8,CD8,gene,Term
TRYP,TRYP,gene,Term
CD137,CD137,gene,Term
ELT,ELT,gene,Term
immune evasion,immune evasion,unknown,Term
FAP,FAP,gene,Term
fbs,fbs,cell type,Term
fibroblasts,fibroblasts,cell type,Term
immune cell-based immunotherapy,immune cell-based immunotherapy,pathways,Term
GELMA,GELMA,gene,Term
biomimetic,biomimetic,cell type,Term
adoptive t cells,adoptive t cells,cell type,Term
male genital tract diseases,male genital tract diseases,disease,Term
male infertility,male infertility,disease,Term
inflammation,inflammation,disease,Term
NKT cells,NKT cells,unknown,Term
cell-mediated immunity,cell-mediated immunity,pathways,Term
cell-mediated immunity to tumors,cell-mediated immunity to tumors,unknown,Term
cell-mediated immunity to infectious diseases,cell-mediated immunity to infectious diseases,unknown,Term
cell-mediated immunity associated with autoimmune diseases,cell-mediated immunity associated with autoimmune diseases,unknown,Term
cell-mediated immunity associated with allograft rejection,cell-mediated immunity associated with allograft rejection,unknown,Term
cell-mediated immune response to tumors,cell-mediated immune response to tumors,unknown,Term
cell-mediated immune response to viral infection,cell-mediated immune response to viral infection,unknown,Term
colorectal,colorectal,disease,Term
PCIF1,PCIF1,unknown,Term
cell migration,cell migration,pathways,Term
CRISPR/Cas9-mediated depletion of PCIF1,CRISPR/Cas9-mediated depletion of PCIF1,unknown,Term
Pcif1 knockout,Pcif1 knockout,unknown,Term
IL27,IL27,gene,Term
D69,D69,gene,Term
obesity,obesity,disease,Term
overweight,overweight,disease,Term
KIR2DS4,KIR2DS4,gene,Term
NCR1,NCR1,gene,Term
NKG2A,NKG2A,gene,Term
SIGLEC7,SIGLEC7,gene,Term
SELECTIN L,SELECTIN L,gene,Term
colorectal cancer cells,colorectal cancer cells,cell type,Term
immune cell populations,immune cell populations,cell type,Term
peripheral blood mononuclear cells,peripheral blood mononuclear cells,cell type,Term
nk cell subsets,nk cell subsets,cell type,Term
tumour,tumour,disease,Term
NKG7,NKG7,gene,Term
lung tumourigenesis,lung tumourigenesis,pathways,Term
uveal melanoma,uveal melanoma,disease,Term
metastatic liver dissemination,metastatic liver dissemination,pathways,Term
ZEB1,ZEB1,gene,Term
immune tolerance,immune tolerance,pathways,Term
immunosuppressive cells,immunosuppressive cells,cell type,Term
adaptive immune responses,adaptive immune responses,pathways,Term
NOTCH,NOTCH,gene,Term
SLCO1B3,SLCO1B3,gene,Term
immune-cancer cell interactions,immune-cancer cell interactions,pathways,Term
engineered,engineered,cell type,Term
effective antitumor immunity,effective antitumor immunity,pathways,Term
target nb cells,target nb cells,cell type,Term
esophageal squamous cell carcinoma,esophageal squamous cell carcinoma,pathways,Term
CTLA4,CTLA4,gene,Term
HAVCR2,HAVCR2,gene,Term
STAT5B,STAT5B,gene,Term
dendritic cell,dendritic cell,cell type,Term
resting cytotoxic immune cells,resting cytotoxic immune cells,cell type,Term
memory cd4,memory cd4,cell type,Term
cytotoxic immune cells,cytotoxic immune cells,cell type,Term
coronavirus,coronavirus,disease,Term
MAIT cells,MAIT cells,unknown,Term
IL-17A,IL-17A,unknown,Term
TNFα,TNFα,unknown,Term
granzyme B,granzyme B,unknown,Term
acute myeloid leukemia,acute myeloid leukemia,disease,Term
ciml nk cells,ciml nk cells,cell type,Term
aml target cells,aml target cells,cell type,Term
leukemic blast cells,leukemic blast cells,cell type,Term
peripheral blood nk cells,peripheral blood nk cells,cell type,Term
patient,patient,cell type,Term
immune responses,immune responses,unknown,Term
car,car,cell type,Term
NPM1,NPM1,gene,Term
ciml,ciml,cell type,Term
CDC1,CDC1,gene,Term
XCR1,XCR1,gene,Term
XCL1,XCL1,gene,Term
"CORDYCEPIN IS A NUCLEOSIDE ANALOGUE ISOLATED FROM THE FUNGUS CORDYCEPS MILITARIS, AND IT IS NOT A GENE.","CORDYCEPIN IS A NUCLEOSIDE ANALOGUE ISOLATED FROM THE FUNGUS CORDYCEPS MILITARIS, AND IT IS NOT A GENE.",gene,Term
MYC,MYC,gene,Term
circulating t cells,circulating t cells,cell type,Term
cytokine production,cytokine production,unknown,Term
HLA,HLA,gene,Term
HLA-CLASSI,HLA-CLASSI,gene,Term
IL15,IL15,gene,Term
IL15RA,IL15RA,gene,Term
human myeloid cells,human myeloid cells,cell type,Term
cancer stem cells,cancer stem cells,cell type,Term
CD123,CD123,gene,Term
CD133,CD133,gene,Term
EPCAM,EPCAM,gene,Term
HHH,HHH,gene,Term
WNT,WNT,gene,Term
allogeneic stem cell transplantation,allogeneic stem cell transplantation,pathways,Term
cmv,cmv,cell type,Term
strain-specific humoral responses,strain-specific humoral responses,pathways,Term
lymphokine,lymphokine,cell type,Term
FAS,FAS,gene,Term
CD36,CD36,gene,Term
cellular energy,cellular energy,pathways,Term
cytotoxic innate immune cells,cytotoxic innate immune cells,cell type,Term
FA,FA,gene,Term
CXCL10,CXCL10,gene,Term
IP-10,IP-10,gene,Term
CXCR3,CXCR3,unknown,Term
t helper cells,t helper cells,cell type,Term
nks,nks,cell type,Term
ctls,ctls,cell type,Term
cytotoxic t lymphocytes,cytotoxic t lymphocytes,cell type,Term
th cells,th cells,cell type,Term
B7-H6,B7-H6,gene,Term
NCR3,NCR3,gene,Term
B7-H6-NKP30MEMBRANE,B7-H6-NKP30MEMBRANE,gene,Term
disseminated nontuberculous mycobacterial infections,disseminated nontuberculous mycobacterial infections,pathways,Term
higher expression,higher expression,pathways,Term
cancer propagation,cancer propagation,pathways,Term
cancer eradication,cancer eradication,pathways,Term
innate lymphoid cell population,innate lymphoid cell population,cell type,Term
metastasis,metastasis,unknown,Term
recurrence,recurrence,unknown,Term
IHs,IHs,unknown,Term
antitumor immune responses,antitumor immune responses,pathways,Term
T cells,T cells,unknown,Term
APCs,APCs,unknown,Term
type I interferons,type I interferons,unknown,Term
bm,bm,cell type,Term
CD3,CD3,gene,Term
TCR,TCR,gene,Term
IN,IN,gene,Term
specific cellular signaling pathways,specific cellular signaling pathways,pathways,Term
simian immunodeficiency,simian immunodeficiency,disease,Term
MAMU-E,MAMU-E,gene,Term
HLA-E,HLA-E,gene,Term
CD94,CD94,gene,Term
human induced pluripotent stem cells,human induced pluripotent stem cells,cell type,Term
invariant,invariant,cell type,Term
innate immune functions,innate immune functions,pathways,Term
rheumatoid arthritis,rheumatoid arthritis,pathways,Term
ILC2,ILC2,gene,Term
IL,IL,gene,Term
JAK1,JAK1,gene,Term
pulmonary graft dysfunction,pulmonary graft dysfunction,disease,Term
pulmonary ischemia-reperfusion injury,pulmonary ischemia-reperfusion injury,disease,Term
innate immune inflammation,innate immune inflammation,pathways,Term
CCRL2,CCRL2,gene,Term
human nk cells,human nk cells,cell type,Term
CCRS,CCRS,gene,Term
TBC1D3,TBC1D3,gene,Term
TCBUSTER,TCBUSTER,gene,Term
primary human cells,primary human cells,cell type,Term
vitro function,vitro function,pathways,Term
TXL,TXL,gene,Term
breast cancer cells,breast cancer cells,cell type,Term
4t1 breast cancer cells,4t1 breast cancer cells,cell type,Term
antitumor immune response,antitumor immune response,unknown,Term
tumor infiltrated lymphocytes,tumor infiltrated lymphocytes,cell type,Term
TNFA,TNFA,gene,Term
gsc,gsc,cell type,Term
malignant cells,malignant cells,cell type,Term
infected cells,infected cells,cell type,Term
stress-induced autologous proteins,stress-induced autologous proteins,pathways,Term
B7H6,B7H6,gene,Term
ER,ER,gene,Term
PERK,PERK,gene,Term
EIF2Α,EIF2Α,gene,Term
NELFINAVIR,NELFINAVIR,gene,Term
autoimmune,autoimmune,disease,Term
CD318,CD318,gene,Term
CD6,CD6,gene,Term
UM,UM,gene,Term
cancer cell death,cancer cell death,pathways,Term
cancer cell survival,cancer cell survival,pathways,Term
checkpoint inhibitor cancer immunotherapy,checkpoint inhibitor cancer immunotherapy,pathways,Term
bladder cancer,bladder cancer,disease,Term
KRT7,KRT7,gene,Term
immune microenvironment,immune microenvironment,pathways,Term
genetic modification,genetic modification,pathways,Term
antigen receptor,antigen receptor,cell type,Term
CXCL12,CXCL12,gene,Term
colorectal cancer progression,colorectal cancer progression,pathways,Term
colorectal cancer migration,colorectal cancer migration,pathways,Term
HMGCS2,HMGCS2,gene,Term
BHBA,BHBA,gene,Term
KLF5,KLF5,gene,Term
ketogenic diets,ketogenic diets,unknown,Term
ketogenesis,ketogenesis,unknown,Term
LY49,LY49,gene,Term
invariant nkt cells,invariant nkt cells,cell type,Term
nkt cell subset,nkt cell subset,cell type,Term
cancer immune surveillance,cancer immune surveillance,pathways,Term
TRBV8,TRBV8,gene,Term
NKT2,NKT2,gene,Term
PRKDC,PRKDC,gene,Term
pembrolizumab,pembrolizumab,unknown,Term
tumor cell killing,tumor cell killing,pathways,Term
AFM13,AFM13,unknown,Term
CD30,CD30,unknown,Term
CD16A,CD16A,unknown,Term
hpscs,hpscs,cell type,Term
inhibitory receptors,inhibitory receptors,unknown,Term
life-threatening infections,life-threatening infections,pathways,Term
CBL0137,CBL0137,gene,Term
HIST1H2BK,HIST1H2BK,gene,Term
CBL,CBL,gene,Term
chromatin,chromatin,unknown,Term
interferon sensitive genes,interferon sensitive genes,pathways,Term
MHC molecules,MHC molecules,unknown,Term
embryo-specific antigens,embryo-specific antigens,unknown,Term
leukemia,leukemia,disease,Term
potent antitumor activity,potent antitumor activity,pathways,Term
adoptive cell therapies,adoptive cell therapies,pathways,Term
future adoptive cell therapies,future adoptive cell therapies,pathways,Term
optimal donor selection,optimal donor selection,pathways,Term
optimal donor,optimal donor,pathways,Term
cancer progression,cancer progression,pathways,Term
squamous cell carcinoma,squamous cell carcinoma,disease,Term
basal cell carcinoma,basal cell carcinoma,disease,Term
TLR,TLR,gene,Term
bacterial infections,bacterial infections,disease,Term
pamps,pamps,unknown,Term
inflammatory cytokines,inflammatory cytokines,unknown,Term
chemokines,chemokines,unknown,Term
antigen-presenting molecules,antigen-presenting molecules,unknown,Term
costimulatory molecules,costimulatory molecules,unknown,Term
nk cytotoxicity,nk cytotoxicity,unknown,Term
adenocarcinoma,adenocarcinoma,disease,Term
PGE2,PGE2,unknown,Term
tumor initiation,tumor initiation,pathways,Term
fatty acid oxidation,fatty acid oxidation,pathways,Term
tams,tams,cell type,Term
PTGS1,PTGS1,gene,Term
COX,COX,gene,Term
EP4I,EP4I,gene,Term
pmn,pmn,cell type,Term
EP4I-PD-1,EP4I-PD-1,gene,Term
stromal cells,stromal cells,cell type,Term
IL18BP,IL18BP,gene,Term
COM503,COM503,gene,Term
significant tumor growth inhibition,significant tumor growth inhibition,pathways,Term
hcmv,hcmv,cell type,Term
USP22,USP22,unknown,Term
combination immunotherapy,combination immunotherapy,pathways,Term
metastasis of pancreatic tumor cells,metastasis of pancreatic tumor cells,unknown,Term
SAGA/STAGA transcriptional coactivator complex,SAGA/STAGA transcriptional coactivator complex,unknown,Term
cancer cell transcriptome,cancer cell transcriptome,unknown,Term
deletion of USP22 in pancreatic tumor cells,deletion of USP22 in pancreatic tumor cells,unknown,Term
pancreatic tumor cells,pancreatic tumor cells,cell type,Term
immune checkpoint blockade,immune checkpoint blockade,pathways,Term
pancreatic ductal adenocarcinoma,pancreatic ductal adenocarcinoma,disease,Term
cytotoxic T cells,cytotoxic T cells,unknown,Term
ICIS,ICIS,gene,Term
CARTCS,CARTCS,gene,Term
oesophagogastric,oesophagogastric,disease,Term
immune,immune,disease,Term
dysregulation,dysregulation,disease,Term
severe immune dysregulation,severe immune dysregulation,pathways,Term
CX3CR1,CX3CR1,gene,Term
CX3CL1,CX3CL1,gene,Term
E6130,E6130,gene,Term
death receptor ligand expression,death receptor ligand expression,pathways,Term
cd4 t cells,cd4 t cells,cell type,Term
cd8 t cells,cd8 t cells,cell type,Term
HGNC: 0,HGNC: 0,gene,Term
SJS/TEN,SJS/TEN,unknown,Term
disease progression,disease progression,pathways,Term
FASLG,FASLG,gene,Term
keratinocyte apoptosis,keratinocyte apoptosis,unknown,Term
GZMA,GZMA,gene,Term
TNF,TNF,gene,Term
GNLY,GNLY,gene,Term
immune dysregulation,immune dysregulation,disease,Term
drug-specific CD8 T-cells,drug-specific CD8 T-cells,unknown,Term
mecs,mecs,cell type,Term
CD1D,CD1D,gene,Term
mammary epithelial cells,mammary epithelial cells,cell type,Term
treg cells,treg cells,cell type,Term
immunosuppressive tumor microenvironment,immunosuppressive tumor microenvironment,unknown,Term
antitumor effects,antitumor effects,pathways,Term
TCM,TCM,unknown,Term
cd4,cd4,cell type,Term
ITGB3,ITGB3,gene,Term
immune-tolerance,immune-tolerance,pathways,Term
tumor progression,tumor progression,pathways,Term
TG,TG,gene,Term
t cell subsets,t cell subsets,cell type,Term
anti-viral immunity,anti-viral immunity,pathways,Term
BUSULFAN,BUSULFAN,gene,Term
dc,dc,cell type,Term
FLUDARABINE,FLUDARABINE,gene,Term
autoimmune diseases,autoimmune diseases,pathways,Term
immunosuppressive tumor associated macrophages,immunosuppressive tumor associated macrophages,cell type,Term
TAM,TAM,gene,Term
TR,TR,gene,Term
INKT,INKT,gene,Term
tumour immune cells,tumour immune cells,cell type,Term
AGAL,AGAL,gene,Term
t lymphocyte population,t lymphocyte population,cell type,Term
anti,anti,cell type,Term
cancer immunology,cancer immunology,pathways,Term
human inkt cells,human inkt cells,cell type,Term
effector immune cells,effector immune cells,cell type,Term
cytokine-based immunotherapy,cytokine-based immunotherapy,pathways,Term
cytokine-based products,cytokine-based products,pathways,Term
DOX,DOX,gene,Term
SMAD3,SMAD3,gene,Term
SIS3,SIS3,unknown,Term
inhibitory tumor microenvironment,inhibitory tumor microenvironment,pathways,Term
enhanced anti-tumor activity,enhanced anti-tumor activity,pathways,Term
transformed cells,transformed cells,cell type,Term
unique immune cells,unique immune cells,pathways,Term
ASCC3,ASCC3,gene,Term
small cell lung cancer,small cell lung cancer,disease,Term
cytotoxic innate lymphoid cells,cytotoxic innate lymphoid cells,cell type,Term
memory cells,memory cells,cell type,Term
epigenetic alterations,epigenetic alterations,pathways,Term
ATLG,ATLG,gene,Term
hsct,hsct,disease,Term
posttransplant immune reconstitution,posttransplant immune reconstitution,pathways,Term
reduced graft rejection,reduced graft rejection,pathways,Term
cytokine-driven immune modulation,cytokine-driven immune modulation,pathways,Term
IMAB362,IMAB362,unknown,Term
complement-dependent cytotoxicity,complement-dependent cytotoxicity,pathways,Term
ADCC activity,ADCC activity,unknown,Term
ADCC lysis activity,ADCC lysis activity,unknown,Term
zoledronic acid,zoledronic acid,unknown,Term
t lymphocytes,t lymphocytes,cell type,Term
enhanced immune reaction transcriptomic signatures,enhanced immune reaction transcriptomic signatures,pathways,Term
enhanced immune reaction signatures,enhanced immune reaction signatures,pathways,Term
autologous adoptive immune-cell therapy,autologous adoptive immune-cell therapy,pathways,Term
protective immune responses,protective immune responses,pathways,Term
hematopoietic cells,hematopoietic cells,cell type,Term
monocyte,monocyte,cell type,Term
HLA-G,HLA-G,gene,Term
immune attack,immune attack,pathways,Term
NK-EVs,NK-EVs,unknown,Term
RGMB,RGMB,gene,Term
NEO1,NEO1,gene,Term
pulmonary carcinoid cancer,pulmonary carcinoid cancer,disease,Term
AFP,AFP,gene,Term
TAF1,TAF1,gene,Term
