nodeId:ID,name,node_type,:LABEL
delayed tumor growth kinetics,delayed tumor growth kinetics,pathways,Term
cholangiocytes,cholangiocytes,cell type,Term
b cell tumors,b cell tumors,cell type,Term
resistant tumor variants,resistant tumor variants,pathways,Term
cd19 car t cells,cd19 car t cells,cell type,Term
car t cells,car t cells,cell type,Term
therapeutic cells,therapeutic cells,cell type,Term
deficiency,deficiency,disease,Term
acute,acute,disease,Term
chronic,chronic,disease,Term
gammaherpesvirus,gammaherpesvirus,disease,Term
b cell lymphomas,b cell lymphomas,cell type,Term
IFNA,IFNA,gene,Term
IFN,IFN,gene,Term
myeloid-specific STAT1 expression,myeloid-specific STAT1 expression,unknown,Term
ARID1A,ARID1A,unknown,Term
inflammatory gene programs,inflammatory gene programs,unknown,Term
neutrophils,neutrophils,cell type,Term
inflammatory monocytes,inflammatory monocytes,cell type,Term
GCs,GCs,unknown,Term
B cell activation,B cell activation,unknown,Term
chromatin landscapes,chromatin landscapes,unknown,Term
IL1B,IL1B,gene,Term
NR3C1,NR3C1,gene,Term
inflammatory cues,inflammatory cues,unknown,Term
BCL6,BCL6,gene,Term
high-affinity antibody responses,high-affinity antibody responses,unknown,Term
nucleosomal remodeling,nucleosomal remodeling,unknown,Term
immune cell-based immunotherapy,immune cell-based immunotherapy,pathways,Term
natural killer cells,natural killer cells,cell type,Term
dendritic cells,dendritic cells,cell type,Term
immune cell infiltrates,immune cell infiltrates,cell type,Term
immune cell populations,immune cell populations,cell type,Term
th1 cells,th1 cells,cell type,Term
cytotoxic t cells,cytotoxic t cells,cell type,Term
pathogenesis research,pathogenesis research,pathways,Term
b-cell acute lymphoblastic leukemia,b-cell acute lymphoblastic leukemia,disease,Term
E1A2,E1A2,gene,Term
E1A3,E1A3,gene,Term
E6A2,E6A2,gene,Term
sickle cell anemia,sickle cell anemia,disease,Term
acute myeloid leukemia,acute myeloid leukemia,disease,Term
IL25,IL25,gene,Term
IL17RB,IL17RB,gene,Term
CD69,CD69,gene,Term
t lymphocytes,t lymphocytes,cell type,Term
leukemic b cells,leukemic b cells,cell type,Term
tumor cell,tumor cell,cell type,Term
tumor microenvironment support,tumor microenvironment support,pathways,Term
CD3,CD3,gene,Term
FCGR2B,FCGR2B,gene,Term
FCGR,FCGR,gene,Term
target cells,target cells,cell type,Term
host effector cells,host effector cells,cell type,Term
MS4A1,MS4A1,gene,Term
IL2RA,IL2RA,gene,Term
CD134,CD134,gene,Term
ITIM,ITIM,gene,Term
agammaglobulinemia,agammaglobulinemia,disease,Term
bacterial,bacterial,disease,Term
infections,infections,disease,Term
immunodeficiency,immunodeficiency,disease,Term
dysregulation,dysregulation,disease,Term
humoral,humoral,disease,Term
immune,immune,disease,Term
b cell fraction,b cell fraction,cell type,Term
PLCG2,PLCG2,gene,Term
autoinflammation,autoinflammation,disease,Term
inflammation,inflammation,disease,Term
autoinflammatory,autoinflammatory,disease,Term
LEU845,LEU845,gene,Term
LEU848,LEU848,gene,Term
nlrp3,nlrp3,unknown,Term
TLR4,TLR4,gene,Term
LPS,LPS,gene,Term
lasting protective immune responses,lasting protective immune responses,pathways,Term
hypogammaglobulinemia,hypogammaglobulinemia,disease,Term
circulating b cells,circulating b cells,cell type,Term
immune responses,immune responses,pathways,Term
3D,3D,gene,Term
CHRNA1,CHRNA1,gene,Term
IL4,IL4,gene,Term
th2 cells,th2 cells,cell type,Term
tfh cells,tfh cells,cell type,Term
CD4,CD4,gene,Term
STAT1,STAT1,gene,Term
GD2,GD2,gene,Term
STAT3,STAT3,unknown,Term
GATA2,GATA2,gene,Term
monocytes,monocytes,cell type,Term
disseminated nontuberculous mycobacterial infections,disseminated nontuberculous mycobacterial infections,pathways,Term
higher expression,higher expression,pathways,Term
CD8,CD8,gene,Term
persistent respiratory immune alterations,persistent respiratory immune alterations,pathways,Term
long-term pulmonary sequelae,long-term pulmonary sequelae,pathways,Term
tumor,tumor,disease,Term
inflammatory cells,inflammatory cells,cell type,Term
DIFLUNISAL,DIFLUNISAL,gene,Term
TRAIL,TRAIL,unknown,Term
colorectal cancer,colorectal cancer,disease,Term
tumor progression,tumor progression,pathways,Term
cancer-related deaths,cancer-related deaths,pathways,Term
colorectal cancer cells,colorectal cancer cells,cell type,Term
intra-tumor mutational diversification,intra-tumor mutational diversification,pathways,Term
abnormal ferroptosis-mediated granulocyte cell death,abnormal ferroptosis-mediated granulocyte cell death,pathways,Term
granulocytes,granulocytes,cell type,Term
Wnt signalling pathway,Wnt signalling pathway,unknown,Term
granulocytes migration,granulocytes migration,pathways,Term
endothelial cells,endothelial cells,cell type,Term
myeloid cells,myeloid cells,cell type,Term
avid recognition,avid recognition,pathways,Term
severe acute respiratory syndrome coronavirus,severe acute respiratory syndrome coronavirus,pathways,Term
memory b cells,memory b cells,cell type,Term
angiotensin-converting enzyme 2,angiotensin-converting enzyme 2,unknown,Term
IL7,IL7,gene,Term
lymphocytes,lymphocytes,cell type,Term
breast cancer,breast cancer,disease,Term
CSMD3,CSMD3,unknown,Term
FAT4,FAT4,unknown,Term
FLG,FLG,unknown,Term
KMT2C,KMT2C,unknown,Term
LRP1B,LRP1B,unknown,Term
MUC5B,MUC5B,unknown,Term
MUC16,MUC16,gene,Term
PLEC,PLEC,unknown,Term
RNF43,RNF43,unknown,Term
SYNE1,SYNE1,unknown,Term
TTN,TTN,unknown,Term
XIRP2,XIRP2,unknown,Term
ZFHX4,ZFHX4,unknown,Term
BRUTINIB,BRUTINIB,gene,Term
BTK,BTK,gene,Term
malignant b cells,malignant b cells,cell type,Term
squamous cell carcinoma,squamous cell carcinoma,disease,Term
infiltrating tumor immune cells,infiltrating tumor immune cells,cell type,Term
tumor immune surveillance,tumor immune surveillance,pathways,Term
immune response,immune response,pathways,Term
progression-free survival,progression-free survival,pathways,Term
MDC,MDC,gene,Term
MIF,MIF,unknown,Term
CCL26,CCL26,gene,Term
NTF3,NTF3,gene,Term
FGF9,FGF9,gene,Term
IP10,IP10,gene,Term
CA19-9,CA19-9,gene,Term
CKB,CKB,gene,Term
MKI67,MKI67,gene,Term
allogeneic haematopoietic stem cell transplantation,allogeneic haematopoietic stem cell transplantation,pathways,Term
cGvHD,cGvHD,unknown,Term
"Here is the output for the biomedical term pairs based on the abstract:

(cancer","Here is the output for the biomedical term pairs based on the abstract:

(cancer",unknown,Term
functional,functional,cell type,Term
cd4 t cells,cd4 t cells,cell type,Term
cd8 t cells,cd8 t cells,cell type,Term
tumor-associated tertiary lymphoid structures,tumor-associated tertiary lymphoid structures,pathways,Term
tumor immunology,tumor immunology,pathways,Term
NRAS,NRAS,gene,Term
AKT,AKT,unknown,Term
MEK,MEK,gene,Term
RASQ61R,RASQ61R,gene,Term
infection,infection,disease,Term
disease,disease,disease,Term
immune deficiency,immune deficiency,disease,Term
MAGT1,MAGT1,gene,Term
KG2D,KG2D,gene,Term
CD28,CD28,gene,Term
ascs,ascs,cell type,Term
long,long,cell type,Term
self-tolerance,self-tolerance,pathways,Term
mAbs,mAbs,unknown,Term
SA-CO-2,SA-CO-2,gene,Term
SACO,SACO,gene,Term
SARS-CoV-2,SARS-CoV-2,unknown,Term
SARS-CoV-2 variants,SARS-CoV-2 variants,unknown,Term
monoclonal antibodies,monoclonal antibodies,unknown,Term
B.1.617.2 Delta variant,B.1.617.2 Delta variant,unknown,Term
humanized antibody,humanized antibody,unknown,Term
lead antibodies,lead antibodies,unknown,Term
neutralizing antibodies,neutralizing antibodies,unknown,Term
humanized mAbs,humanized mAbs,unknown,Term
bispecific mAbs,bispecific mAbs,unknown,Term
lead mAbs,lead mAbs,unknown,Term
neutralizing mAbs,neutralizing mAbs,unknown,Term
oncogenic viruses,oncogenic viruses,pathways,Term
regulatory cells,regulatory cells,cell type,Term
regulatory,regulatory,cell type,Term
steroid-treated acute cellular rejection,steroid-treated acute cellular rejection,pathways,Term
neoplastic,neoplastic,disease,Term
extranodal lymphoma,extranodal lymphoma,pathways,Term
mucosal dysregulation,mucosal dysregulation,pathways,Term
ulcerative colitis,ulcerative colitis,disease,Term
CD38,CD38,gene,Term
CRISPR,CRISPR,gene,Term
CRISPR9,CRISPR9,gene,Term
antigen recognition,antigen recognition,pathways,Term
regulatory b cells,regulatory b cells,cell type,Term
thyroiditis,thyroiditis,unknown,Term
fibrosis,fibrosis,disease,Term
oncocytic metaplasia,oncocytic metaplasia,disease,Term
atrophy,atrophy,disease,Term
leukemic stem cells,leukemic stem cells,cell type,Term
IL1RAP,IL1RAP,gene,Term
normal hematopoietic stem cells,normal hematopoietic stem cells,cell type,Term
hscs,hscs,cell type,Term
gaucher,gaucher,disease,Term
excessive inflammation,excessive inflammation,pathways,Term
TH1,TH1,gene,Term
t helper cells,t helper cells,cell type,Term
immune status,immune status,pathways,Term
"Here is the output for the provided biomedical term pairs based on the abstract:

(immunoglobulins","Here is the output for the provided biomedical term pairs based on the abstract:

(immunoglobulins",unknown,Term
IGS,IGS,gene,Term
IGM,IGM,gene,Term
IGG,IGG,gene,Term
IGA,IGA,gene,Term
IGD,IGD,gene,Term
coinhibitory receptors,coinhibitory receptors,pathways,Term
immune tolerance,immune tolerance,unknown,Term
gc b cells,gc b cells,cell type,Term
antibody-secreting cells,antibody-secreting cells,pathways,Term
germinal centers,germinal centers,cell type,Term
activated b cells,activated b cells,cell type,Term
gcs,gcs,cell type,Term
b cell populations,b cell populations,cell type,Term
antigen,antigen,cell type,Term
vaccine-induced long-term antibody-mediated immunity,vaccine-induced long-term antibody-mediated immunity,pathways,Term
antigen-presenting cells,antigen-presenting cells,unknown,Term
treg cells,treg cells,cell type,Term
antitumor immunity,antitumor immunity,pathways,Term
antitumor effects,antitumor effects,pathways,Term
TCM,TCM,unknown,Term
myocardial ischemia,myocardial ischemia,disease,Term
neutrophil extracellular traps,neutrophil extracellular traps,pathways,Term
stroke,stroke,disease,Term
adaptive immune cells,adaptive immune cells,cell type,Term
fibroblasts,fibroblasts,cell type,Term
inflammatory-related genes,inflammatory-related genes,pathways,Term
injury-related changes,injury-related changes,pathways,Term
extracellular matrix remodeling,extracellular matrix remodeling,pathways,Term
AID,AID,gene,Term
ICDA,ICDA,gene,Term
acute transverse myelitis,acute transverse myelitis,disease,Term
multiple sclerosis,multiple sclerosis,pathways,Term
ms,ms,cell type,Term
ucb b cells,ucb b cells,cell type,Term
CH25H,CH25H,gene,Term
diseases,diseases,disease,Term
inflammatory,inflammatory,disease,Term
neurodegenerative,neurodegenerative,disease,Term
respiratory,respiratory,disease,Term
autoimmune,autoimmune,disease,Term
oligodendrocytes,oligodendrocytes,cell type,Term
FDC,FDC,gene,Term
immune disorders,immune disorders,disease,Term
chronic inflammatory disorders,chronic inflammatory disorders,disease,Term
autoimmune disorders,autoimmune disorders,disease,Term
fdcs,fdcs,cell type,Term
accessory immune cells,accessory immune cells,cell type,Term
follicular dendritic cells,follicular dendritic cells,cell type,Term
b memory cells,b memory cells,cell type,Term
germinal center reaction,germinal center reaction,pathways,Term
prion diseases,prion diseases,pathways,Term
ATRA,ATRA,gene,Term
DARA,DARA,gene,Term
DARATUMUMAB,DARATUMUMAB,gene,Term
CD55,CD55,gene,Term
CD59,CD59,gene,Term
C3,C3,gene,Term
CD133,CD133,gene,Term
cancer stem cells,cancer stem cells,cell type,Term
cscs,cscs,cell type,Term
hepatocellular carcinoma,hepatocellular carcinoma,pathways,Term
NPM1,NPM1,gene,Term
B cells,B cells,unknown,Term
cell-mediated immunity,cell-mediated immunity,pathways,Term
autoimmune diseases,autoimmune diseases,pathways,Term
adenocarcinoma,adenocarcinoma,disease,Term
immune signaling,immune signaling,pathways,Term
CD83,CD83,gene,Term
CLEC9A,CLEC9A,gene,Term
CTLA4,CTLA4,gene,Term
NT5E,NT5E,gene,Term
ICOS,ICOS,gene,Term
ILC3,ILC3,gene,Term
IL22,IL22,gene,Term
IL17A,IL17A,gene,Term
TNF,TNF,gene,Term
CSF2,CSF2,gene,Term
ilcs,ilcs,cell type,Term
innate lymphoid cells,innate lymphoid cells,cell type,Term
MANNAN1,MANNAN1,gene,Term
viral infections of the lung,viral infections of the lung,disease,Term
CLADRIBINE,CLADRIBINE,gene,Term
CD20,CD20,gene,Term
CD11c,CD11c,unknown,Term
CD14,CD14,gene,Term
CD68,CD68,gene,Term
CD66b,CD66b,unknown,Term
CD8 T cells,CD8 T cells,unknown,Term
nanoparticle-based subunit vaccines,nanoparticle-based subunit vaccines,pathways,Term
potent immune cell activation,potent immune cell activation,pathways,Term
oxidation-sensitive polymersomes,oxidation-sensitive polymersomes,pathways,Term
pulmonary carcinoid cancer,pulmonary carcinoid cancer,disease,Term
cd8,cd8,cell type,Term
"Here is the output based on the abstract and the biomedical term pairs you provided:
(non-small cell lung cancer","Here is the output based on the abstract and the biomedical term pairs you provided:
(non-small cell lung cancer",unknown,Term
ebf1,ebf1,unknown,Term
BRG1,BRG1,gene,Term
FUS,FUS,gene,Term
LEOSOME,LEOSOME,gene,Term
cGVHD,cGVHD,unknown,Term
TLR7,TLR7,gene,Term
Interleukin-6,Interleukin-6,unknown,Term
R848,R848,gene,Term
B-cell receptor,B-cell receptor,unknown,Term
Interferon regulatory factor 5,Interferon regulatory factor 5,unknown,Term
Immunoglobulin G,Immunoglobulin G,unknown,Term
IgG,IgG,unknown,Term
Ro-52,Ro-52,unknown,Term
"Here is the output based on the abstract and the provided biomedical term pairs:

(multiple sclerosis","Here is the output based on the abstract and the provided biomedical term pairs:

(multiple sclerosis",unknown,Term
elfs,elfs,cell type,Term
malignancies,malignancies,disease,Term
RBD,RBD,gene,Term
cross-binding variants,cross-binding variants,pathways,Term
b.351,b.351,unknown,Term
immune system,immune system,unknown,Term
ACTA1,ACTA1,gene,Term
MENA,MENA,gene,Term
tissue-specific splicing,tissue-specific splicing,pathways,Term
ADGRE5,ADGRE5,gene,Term
CD97,CD97,gene,Term
mz b cells,mz b cells,cell type,Term
red blood cells,red blood cells,cell type,Term
proliferation markers,proliferation markers,pathways,Term
cell survival,cell survival,pathways,Term
BCL2,BCL2,gene,Term
PCNA,PCNA,gene,Term
gal-3,gal-3,unknown,Term
listeriolysin O,listeriolysin O,unknown,Term
listeriosis,listeriosis,disease,Term
T cells,T cells,unknown,Term
intracellular lifecycle,intracellular lifecycle,unknown,Term
Listeria monocytogenes,Listeria monocytogenes,unknown,Term
BLIMP1,BLIMP1,gene,Term
XBP1,XBP1,gene,Term
follicular helper t cells,follicular helper t cells,cell type,Term
naive b cells,naive b cells,cell type,Term
TLR2,TLR2,gene,Term
unidirectional migration,unidirectional migration,pathways,Term
CCRL7,CCRL7,gene,Term
anaphylaxis,anaphylaxis,disease,Term
IGE,IGE,gene,Term
cryptosporidiosis,cryptosporidiosis,disease,Term
chronic organ damage,chronic organ damage,disease,Term
cholangitis,cholangitis,disease,Term
inflammatory diseases,inflammatory diseases,disease,Term
IL21R,IL21R,gene,Term
circulating t follicular helper cells,circulating t follicular helper cells,cell type,Term
mait cells,mait cells,cell type,Term
lymphocyte differentiation,lymphocyte differentiation,pathways,Term
hematopoietic stem cell transplantation,hematopoietic stem cell transplantation,pathways,Term
hematopoietic stem cell,hematopoietic stem cell,cell type,Term
immune-excluded squamous cell carcinomas,immune-excluded squamous cell carcinomas,pathways,Term
immune-hot adenocarcinomas,immune-hot adenocarcinomas,pathways,Term
PIK3CA,PIK3CA,gene,Term
TAN-high LUSC,TAN-high LUSC,unknown,Term
immune-low TMEs,immune-low TMEs,unknown,Term
fibroblast barriers to immune infiltration,fibroblast barriers to immune infiltration,unknown,Term
sparse lymphocytes,sparse lymphocytes,unknown,Term
TAN-high tumors,TAN-high tumors,unknown,Term
plasma and B cells,plasma and B cells,unknown,Term
T cells and macrophages,T cells and macrophages,unknown,Term
clonal neoantigen burden,clonal neoantigen burden,unknown,Term
metastasis-seeding subclones,metastasis-seeding subclones,unknown,Term
recently expanded subclones,recently expanded subclones,unknown,Term
shorter disease-free survival,shorter disease-free survival,unknown,Term
cytokine-producing cells,cytokine-producing cells,pathways,Term
humoral immune responses,humoral immune responses,pathways,Term
CD33,CD33,gene,Term
vascular endothelial cells,vascular endothelial cells,cell type,Term
peripheral t cells,peripheral t cells,cell type,Term
regulatory b lymphocytes,regulatory b lymphocytes,cell type,Term
regulatory t cells,regulatory t cells,cell type,Term
MIR,MIR,gene,Term
MIRNA,MIRNA,gene,Term
BTLA,BTLA,gene,Term
B and T cell activation and proliferation,B and T cell activation and proliferation,unknown,Term
TNFR,TNFR,gene,Term
SCD,SCD,gene,Term
mufa,mufa,unknown,Term
b cell development,b cell development,unknown,Term
germinal center formation,germinal center formation,pathways,Term
G6PC,G6PC,gene,Term
MTOR,MTOR,gene,Term
FAS,FAS,gene,Term
FA,FA,gene,Term
mitochondrial metabolism,mitochondrial metabolism,unknown,Term
er stress,er stress,unknown,Term
C4,C4,gene,Term
alloantibody formation,alloantibody formation,pathways,Term
subsequent alloimmunization,subsequent alloimmunization,pathways,Term
RBC,RBC,gene,Term
alloimmunization rates,alloimmunization rates,pathways,Term
mixed epithelial and stromal tumor of the kidney,mixed epithelial and stromal tumor of the kidney,disease,Term
malignant transformation potential,malignant transformation potential,pathways,Term
fetal or immature cells,fetal or immature cells,cell type,Term
FOXA3,FOXA3,gene,Term
IL6,IL6,gene,Term
BCL2L1,BCL2L1,gene,Term
resting t cells,resting t cells,cell type,Term
PKB,PKB,gene,Term
chimeric antigen receptors,chimeric antigen receptors,pathways,Term
FBXO10,FBXO10,gene,Term
CASP9,CASP9,gene,Term
non-small cell lung cancer,non-small cell lung cancer,disease,Term
leukemia,leukemia,disease,Term
CD5,CD5,gene,Term
persistent lymphocytosis,persistent lymphocytosis,pathways,Term
LRRK2,LRRK2,gene,Term
TFEB,TFEB,gene,Term
ATG1,ATG1,gene,Term
LA,LA,gene,Term
ANG,ANG,gene,Term
LDHA,LDHA,gene,Term
peripheral blood mononuclear cells,peripheral blood mononuclear cells,cell type,Term
plasma,plasma,cell type,Term
AGO2,AGO2,gene,Term
LDH,LDH,gene,Term
dfs,dfs,cell type,Term
CDR3,CDR3,gene,Term
CDR3-MAGEC1,CDR3-MAGEC1,gene,Term
IGLCDR3CTA,IGLCDR3CTA,gene,Term
IL21,IL21,gene,Term
il-21R,il-21R,unknown,Term
t follicular helper cells,t follicular helper cells,cell type,Term
DNAM1,DNAM1,gene,Term
germinal center Tfh and B-cell interferon signaling pathways,germinal center Tfh and B-cell interferon signaling pathways,unknown,Term
B-cell development and antigen presentation pathways,B-cell development and antigen presentation pathways,unknown,Term
modest expansion,modest expansion,pathways,Term
WNK1,WNK1,gene,Term
CXCR5,CXCR5,gene,Term
XSR1,XSR1,gene,Term
TK39,TK39,gene,Term
cancer genesis,cancer genesis,pathways,Term
normal follicular helper t cells,normal follicular helper t cells,cell type,Term
activated,activated,cell type,Term
pancreatic ductal adenocarcinoma,pancreatic ductal adenocarcinoma,disease,Term
myeloid-derived suppressor cells,myeloid-derived suppressor cells,unknown,Term
tumor growth,tumor growth,pathways,Term
metastasis,metastasis,unknown,Term
immunotherapy,immunotherapy,unknown,Term
Phosphoinositide-3-kinaseγ,Phosphoinositide-3-kinaseγ,unknown,Term
α-enolase DNA vaccination,α-enolase DNA vaccination,unknown,Term
Phosphoinositide-3-kinaseγ inhibition,Phosphoinositide-3-kinaseγ inhibition,unknown,Term
circulating anti-ENO1 specific IgG,circulating anti-ENO1 specific IgG,unknown,Term
IFNγ secretion by T cells,IFNγ secretion by T cells,unknown,Term
tumor infiltration of CD8,tumor infiltration of CD8,unknown,Term
phages,phages,cell type,Term
engineered filamentous phages,engineered filamentous phages,cell type,Term
phage peptide antigen presentation,phage peptide antigen presentation,pathways,Term
gene therapy,gene therapy,pathways,Term
co-stimulatory molecules,co-stimulatory molecules,pathways,Term
CD107A,CD107A,gene,Term
PRMT1,PRMT1,gene,Term
plasma cell differentiation,plasma cell differentiation,pathways,Term
gcbc,gcbc,cell type,Term
murine gcbc,murine gcbc,cell type,Term
germinal center b cells,germinal center b cells,cell type,Term
prostate,prostate,disease,Term
prad,prad,disease,Term
carcinoma,carcinoma,disease,Term
SATB1,SATB1,gene,Term
ESR1,ESR1,gene,Term
ER,ER,gene,Term
invasive,invasive,disease,Term
brac,brac,disease,Term
breast,breast,disease,Term
head,head,disease,Term
hnsc,hnsc,cell type,Term
neck,neck,disease,Term
cancer diagnosis,cancer diagnosis,pathways,Term
acute myeloid leukaemia,acute myeloid leukaemia,unknown,Term
HLA-DR,HLA-DR,gene,Term
HLA-D,HLA-D,gene,Term
