:START_ID,:END_ID,relationship,weight:int,file_count:int,sources,:TYPE
CD19,CD33,activate,1,1,['38871977.txt'],INTERACTS
CD19,tumor antigens,activate,1,1,['38871977.txt'],INTERACTS
CD19,event-free survival,activate,1,1,['38356450.txt'],INTERACTS
CD19,axi-cel,activate,1,1,['39107847.txt'],INTERACTS
CD19,TCR,inhibit,1,1,['35922948.txt'],INTERACTS
CD19,HLA,inhibit,1,1,['35922948.txt'],INTERACTS
CD19,lupus erythematosus,inhibit,1,1,['38579681.txt'],INTERACTS
CD19,idiopathic inflammatory myositis,inhibit,1,1,['38579681.txt'],INTERACTS
CD19,PD1LG1,inhibit,1,1,['36435066.txt'],INTERACTS
CD19,PDCD1LG2,inhibit,1,1,['36435066.txt'],INTERACTS
CD19,PDCD1,inhibit,1,1,['36435066.txt'],INTERACTS
CD19,cell,activate,1,1,['38340107.txt'],INTERACTS
CD19,complete remission,activate,1,1,['36835110.txt'],INTERACTS
CD19,cytokine secretion,activate,1,1,['36835110.txt'],INTERACTS
CD19,t-cell malignancies,activate,1,1,['38925363.txt'],INTERACTS
CD19,tumor escape,activate,1,1,['34800921.txt'],INTERACTS
CD19,TISAGENLECLEUCEL,activate,1,1,['35768052.txt'],INTERACTS
CD19,LISOCABTAGENEMARALEUCEL,activate,1,1,['35768052.txt'],INTERACTS
CD19,CD58,activate,1,1,['35881486.txt'],INTERACTS
CD19,killing,activate,1,1,['35881486.txt'],INTERACTS
CD19,serial killing,activate,1,1,['35881486.txt'],INTERACTS
CD19,optimal antitumor responses,activate,1,1,['35881486.txt'],INTERACTS
CD19,lymphoma,inhibit,1,1,['35881486.txt'],INTERACTS
CD19,large b cell lymphomas,inhibit,1,1,['35881486.txt'],INTERACTS
CD19,significant toxicity,activate,1,1,['35439292.txt'],INTERACTS
CD19,CD28,activate,1,1,['39050989.txt'],INTERACTS
CD19,CD40,activate,1,1,['39050989.txt'],INTERACTS
CD19,NFKB,activate,1,1,['39050989.txt'],INTERACTS
CD19,PRELB,activate,1,1,['39050989.txt'],INTERACTS
CD19,chimeric antigen receptor,activate,3,3,"['35332339.txt', '37879842.txt', '35222427.txt']",INTERACTS
CD19,GL-7,activate,1,1,['36913356.txt'],INTERACTS
CD19,cellular immunotherapy,activate,1,1,['35222427.txt'],INTERACTS
CD19,hematological cancers,activate,1,1,['38962014.txt'],INTERACTS
CD19,CAR19,activate,1,1,['38996463.txt'],INTERACTS
CD19,immune dysregulation,activate,1,1,['38691878.txt'],INTERACTS
CD19,CART19,activate,1,1,['38066564.txt'],INTERACTS
CD19,PRF1,activate,1,1,['38922288.txt'],INTERACTS
CD19,tisagenlecleucel,activate,2,2,"['36351239.txt', '35145941.txt']",INTERACTS
CD19,UCART19,activate,1,1,['38386999.txt'],INTERACTS
CD19,C20,inhibit,1,1,['36409926.txt'],INTERACTS
CD19,CD20BBS,activate,1,1,['38805637.txt'],INTERACTS
CD19,malignant cells,inhibit,1,1,['38805637.txt'],INTERACTS
CD19,endogenous t cells,activate,1,1,['38805637.txt'],INTERACTS
CD19,malignant b cells,inhibit,1,1,['38805637.txt'],INTERACTS
CD19,improved eradication,activate,1,1,['38805637.txt'],INTERACTS
CD19,antitumor responses,activate,1,1,['39068512.txt'],INTERACTS
CD19,persistent cd19 car,activate,1,1,['37407840.txt'],INTERACTS
CD19,t cell subsets,activate,1,1,['37407840.txt'],INTERACTS
CD19,cd19 car-,activate,1,1,['37407840.txt'],INTERACTS
CD19,CD8,activate,1,1,['35446934.txt'],INTERACTS
CD19,antigen-driven differentiation,activate,1,1,['35446934.txt'],INTERACTS
CD19,plasmablastic lymphoma,activate,1,1,['35523507.txt'],INTERACTS
CD19,autoimmune diseases,inhibit,1,1,['39153835.txt'],INTERACTS
CD19,cd19 car t cells,activate,1,1,['34901832.txt'],INTERACTS
CD19,cancer treatment,activate,1,1,['34901832.txt'],INTERACTS
CD19,acute lymphoblastic leukaemia,inhibit,1,1,['35145941.txt'],INTERACTS
CD155,DNAM1,activate,1,1,['35947095.txt'],INTERACTS
CD155,CD226,activate,3,3,"['35947095.txt', '36630913.txt', '39113892.txt']",INTERACTS
CD155,TIGIT,activate,4,4,"['35947095.txt', '38666504.txt', '38429294.txt', '39113892.txt']",INTERACTS
CD155,immune cells,activate,1,1,['35947095.txt'],INTERACTS
CD155,t cells,inhibit,1,1,['35218675.txt'],INTERACTS
CD155,ZAP70,inhibit,1,1,['39039086.txt'],INTERACTS
CD155,cytolytic function,inhibit,1,1,['39039086.txt'],INTERACTS
CD155,blast reduction,inhibit,1,1,['39039086.txt'],INTERACTS
CD155,CD73,inhibit,1,1,['38429294.txt'],INTERACTS
CD155,ADORA,inhibit,1,1,['38429294.txt'],INTERACTS
CD155,nk cells,activate,1,1,['38429294.txt'],INTERACTS
CD155,complete tumor eradication,activate,1,1,['38429294.txt'],INTERACTS
CD155,CD96,activate,1,1,['39113892.txt'],INTERACTS
CD155,antitumor immune response,activate,1,1,['38666504.txt'],INTERACTS
DNAM1,TIGIT,inhibit,1,1,['35947095.txt'],INTERACTS
DNAM1,immune cells,activate,1,1,['35947095.txt'],INTERACTS
DNAM1,t cells,activate,2,2,"['35947095.txt', '38191799.txt']",INTERACTS
DNAM1,CD226,activate,1,1,['37325585.txt'],INTERACTS
DNAM1,PVR,activate,1,1,['38592213.txt'],INTERACTS
DNAM1,PVRL2,activate,1,1,['38592213.txt'],INTERACTS
DNAM1,cytotoxic lymphocytes,activate,1,1,['38592213.txt'],INTERACTS
DNAM1,hematologic,activate,1,1,['38592213.txt'],INTERACTS
DNAM1,multiple hematologic tumors,activate,1,1,['38592213.txt'],INTERACTS
DNAM1,superior cell products,activate,1,1,['38592213.txt'],INTERACTS
DNAM1,immune cell populations,activate,1,1,['38191799.txt'],INTERACTS
DNAM1,natural killer cells,activate,1,1,['38191799.txt'],INTERACTS
CD226,TIGIT,inhibit,1,1,['39113892.txt'],INTERACTS
CD226,anti-tumor immunity,activate,1,1,['37056782.txt'],INTERACTS
CD226,immune cells,activate,1,1,['37056782.txt'],INTERACTS
CD226,lymphocytes,activate,1,1,['37056782.txt'],INTERACTS
CD226,monocytes,activate,1,1,['37056782.txt'],INTERACTS
CD226,DNAM1,activate,1,1,['37325585.txt'],INTERACTS
CD226,CD28,activate,1,1,['35379739.txt'],INTERACTS
CD226,antitumor t cells,activate,1,1,['35379739.txt'],INTERACTS
CD226,antitumor immune responses,activate,1,1,['35379739.txt'],INTERACTS
TIGIT,CD155,inhibit,1,1,['38666504.txt'],INTERACTS
TIGIT,DNAM1,activate,1,1,['37325585.txt'],INTERACTS
TIGIT,immune cells,inhibit,3,3,"['35090381.txt', '38354701.txt', '34906767.txt']",INTERACTS
TIGIT,t cells,activate,2,2,"['34987021.txt', '38545758.txt']",INTERACTS
TIGIT,PDCD1LG2,activate,1,1,['38181797.txt'],INTERACTS
TIGIT,neuroblastoma,inhibit,1,1,['38181797.txt'],INTERACTS
TIGIT,nk cells,activate,2,2,"['38429294.txt', '38545758.txt']",INTERACTS
TIGIT,natural killer,inhibit,1,1,['38181797.txt'],INTERACTS
TIGIT,nk,inhibit,2,2,"['39043643.txt', '38181797.txt']",INTERACTS
TIGIT,PVR,inhibit,1,1,['38460520.txt'],INTERACTS
TIGIT,treg cells,inhibit,1,1,['38545758.txt'],INTERACTS
TIGIT,activated t cells,inhibit,1,1,['35090381.txt'],INTERACTS
TIGIT,cd8 + t cells,activate,1,1,['38545758.txt'],INTERACTS
TIGIT,FOXP3,inhibit,1,1,['38545758.txt'],INTERACTS
TIGIT,DC1,activate,1,1,['38545758.txt'],INTERACTS
TIGIT,XCL1,activate,1,1,['38545758.txt'],INTERACTS
TIGIT,FLT3L,activate,1,1,['38545758.txt'],INTERACTS
TIGIT,HAVCR2,activate,2,2,"['35316223.txt', '37567938.txt']",INTERACTS
TIGIT,PDCD1,inhibit,3,3,"['38582964.txt', '38885356.txt', '37325585.txt']",INTERACTS
TIGIT,dendritic cells,activate,1,1,['35316223.txt'],INTERACTS
TIGIT,CPE,activate,1,1,['35316223.txt'],INTERACTS
TIGIT,HLA,activate,1,1,['35316223.txt'],INTERACTS
TIGIT,antigen,activate,1,1,['35316223.txt'],INTERACTS
TIGIT,immune cell-induced antitumor responses,inhibit,1,1,['34906767.txt'],INTERACTS
TIGIT,anti-tumor immune responses,inhibit,1,1,['34906767.txt'],INTERACTS
TIGIT,antitumor immunity,activate,1,1,['38635895.txt'],INTERACTS
TIGIT,immune responses,inhibit,1,1,['36724630.txt'],INTERACTS
TIGIT,effector function inhibition,activate,1,1,['37077914.txt'],INTERACTS
TIGIT,CD73,inhibit,1,1,['38429294.txt'],INTERACTS
TIGIT,ADORA,inhibit,1,1,['38429294.txt'],INTERACTS
TIGIT,complete tumor eradication,activate,1,1,['38429294.txt'],INTERACTS
TIGIT,immune cell types,inhibit,1,1,['38354701.txt'],INTERACTS
TIGIT,TEX,activate,1,1,['39064019.txt'],INTERACTS
TIGIT,LAYN,inhibit,1,1,['39064019.txt'],INTERACTS
TIGIT,effector t cells,inhibit,1,1,['37182149.txt'],INTERACTS
TIGIT,CD226,activate,1,1,['37325585.txt'],INTERACTS
TIGIT,treg,inhibit,1,1,['38635895.txt'],INTERACTS
TIGIT,malignant plasma cells,inhibit,1,1,['38990101.txt'],INTERACTS
TIGIT,t-cell immune response,inhibit,1,1,['38990101.txt'],INTERACTS
TIGIT,exhaustion markers,activate,1,1,['38582964.txt'],INTERACTS
TIGIT,cytokine production,inhibit,1,1,['38582964.txt'],INTERACTS
TIGIT,target cells,inhibit,1,1,['38582964.txt'],INTERACTS
TIGIT,colorectal cancer,inhibit,1,1,['38582964.txt'],INTERACTS
TIGIT,autologous,inhibit,1,1,['38582964.txt'],INTERACTS
TIGIT,immune system balance,activate,1,1,['38924299.txt'],INTERACTS
TIGIT,BCL2,activate,1,1,['39113892.txt'],INTERACTS
TIGIT,IL10,activate,1,1,['39113892.txt'],INTERACTS
TIGIT,BAX,inhibit,1,1,['39113892.txt'],INTERACTS
TIGIT,t regulatory cells,inhibit,1,1,['38666504.txt'],INTERACTS
TIGIT,antitumor immune response,inhibit,1,1,['38666504.txt'],INTERACTS
TIGIT,CD28,inhibit,1,1,['35379739.txt'],INTERACTS
TIGIT,antitumor t cells,inhibit,1,1,['35379739.txt'],INTERACTS
TIGIT,antitumor immune responses,inhibit,1,1,['35379739.txt'],INTERACTS
TIGIT,car,inhibit,1,1,['35554512.txt'],INTERACTS
TIGIT,myeloid cells,activate,1,1,['34987021.txt'],INTERACTS
TIGIT,th2 cells,inhibit,1,1,['36913356.txt'],INTERACTS
TIGIT,th2 cell,inhibit,1,1,['36913356.txt'],INTERACTS
TIGIT,IFNG,activate,1,1,['38457514.txt'],INTERACTS
TIGIT,t-cell,inhibit,1,1,['38438420.txt'],INTERACTS
TIGIT,Natural Killer cell,inhibit,1,1,['38438420.txt'],INTERACTS
TIGIT,C8,inhibit,1,1,['36512425.txt'],INTERACTS
TIGIT,FCGR,inhibit,1,1,['36512425.txt'],INTERACTS
TIGIT,LE,inhibit,1,1,['36512425.txt'],INTERACTS
TIGIT,tigit-pvr,inhibit,1,1,['38460520.txt'],INTERACTS
TIGIT,immunosuppressive cells,activate,1,1,['36529697.txt'],INTERACTS
TIGIT,stromal cells,activate,1,1,['36529697.txt'],INTERACTS
TIGIT,LGALS3,activate,1,1,['36529697.txt'],INTERACTS
TIGIT,PVR2,activate,1,1,['38588410.txt'],INTERACTS
TIGIT,tumor growth,inhibit,1,1,['38588410.txt'],INTERACTS
TIGIT,T cells,inhibit,1,1,['36211383.txt'],INTERACTS
TIGIT,cancer,inhibit,1,1,['37261087.txt'],INTERACTS
immune cells,effector immune cells,activate,1,1,['38530545.txt'],INTERACTS
immune cells,anti-tumor immune responses,activate,3,3,"['38077327.txt', '37876793.txt', '36765788.txt']",INTERACTS
immune cells,inflammation,inhibit,1,1,['35349644.txt'],INTERACTS
immune cells,insulin resistance,inhibit,1,1,['35349644.txt'],INTERACTS
immune cells,senescence,inhibit,1,1,['35349644.txt'],INTERACTS
immune cells,obesity,inhibit,1,1,['35349644.txt'],INTERACTS
immune cells,steatosis,inhibit,1,1,['35349644.txt'],INTERACTS
immune cells,aging-associated diseases,inhibit,1,1,['35349644.txt'],INTERACTS
immune cells,MAPK14,inhibit,1,1,['35349644.txt'],INTERACTS
immune cells,MTOR,activate,1,1,['36814918.txt'],INTERACTS
immune cells,immune effector functions,activate,1,1,['36960057.txt'],INTERACTS
immune cells,signal transduction,activate,1,1,['34924127.txt'],INTERACTS
immune cells,compromised cytokine production,inhibit,1,1,['36658782.txt'],INTERACTS
immune cells,main immune checkpoints,activate,1,1,['36658782.txt'],INTERACTS
immune cells,effector cells,activate,1,1,['38880641.txt'],INTERACTS
immune cells,cancer,activate,16,16,"['36207751.txt', '38273655.txt', '37345163.txt', '37251372.txt', '37567033.txt', '38708176.txt', '38665921.txt', '34768814.txt', '37371075.txt', '34965952.txt', '38837666.txt', '36165183.txt', '38254135.txt', '39160211.txt', '35879361.txt', '35152450.txt']",INTERACTS
immune cells,combinatorial protein expression,activate,1,1,['39128003.txt'],INTERACTS
immune cells,drug-resistant tumors,inhibit,1,1,['39038527.txt'],INTERACTS
immune cells,b cells,activate,10,10,"['34972961.txt', '36346550.txt', '38802391.txt', '36765877.txt', '36082430.txt', '35831283.txt', '38497601.txt', '37258506.txt', '35021054.txt', '38386594.txt']",INTERACTS
immune cells,t cells,inhibit,1,1,['34768814.txt'],INTERACTS
immune cells,macrophages,activate,12,12,"['34972961.txt', '39251182.txt', '38802391.txt', '38952097.txt', '36569272.txt', '38708176.txt', '38470874.txt', '38700835.txt', '39061247.txt', '38713256.txt', '38497601.txt', '39050852.txt']",INTERACTS
immune cells,natural killer cells,activate,7,7,"['34972961.txt', '38708176.txt', '38081328.txt', '35051263.txt', '38453818.txt', '35042206.txt', '38497601.txt']",INTERACTS
immune cells,sustained antitumor responses,activate,1,1,['37837379.txt'],INTERACTS
immune cells,antitumor immunity,activate,7,7,"['35379746.txt', '38383161.txt', '34949694.txt', '37833072.txt', '36888717.txt', '38529546.txt', '37837379.txt']",INTERACTS
immune cells,tumor infiltration,activate,1,1,['37837379.txt'],INTERACTS
immune cells,lymphocyte composition,activate,1,1,['34923867.txt'],INTERACTS
immune cells,immune responses,activate,9,9,"['38355731.txt', '36624636.txt', '39223212.txt', '38670230.txt', '37165219.txt', '35247994.txt', '39096620.txt', '36638191.txt', '35421375.txt']",INTERACTS
immune cells,chimeric antigen receptors,activate,1,1,['35303007.txt'],INTERACTS
immune cells,car t cell,activate,1,1,['38665921.txt'],INTERACTS
immune cells,cancer ecosystems,activate,1,1,['39193763.txt'],INTERACTS
immune cells,immune cell infiltrates,activate,1,1,['34777389.txt'],INTERACTS
immune cells,regulatory,inhibit,1,1,['37441198.txt'],INTERACTS
immune cells,CAR-T,activate,1,1,['38613724.txt'],INTERACTS
immune cells,antitumor responses,activate,1,1,['36902214.txt'],INTERACTS
immune cells,tumor,activate,7,7,"['38521965.txt', '37871202.txt', '37526080.txt', '35871139.txt', '35960333.txt', '36672697.txt', '38505293.txt']",INTERACTS
immune cells,brain metastases,inhibit,1,1,['35443752.txt'],INTERACTS
immune cells,cancer cells,inhibit,7,7,"['35027037.txt', '37587450.txt', '39251182.txt', '35057046.txt', '36521029.txt', '38599467.txt', '39199299.txt']",INTERACTS
immune cells,antigen,activate,1,1,['38454135.txt'],INTERACTS
immune cells,cancer immunotherapy strategies,activate,1,1,['36311790.txt'],INTERACTS
immune cells,tumour,activate,2,2,"['38837666.txt', '37386922.txt']",INTERACTS
immune cells,single-agent immunotherapy,activate,1,1,['37386922.txt'],INTERACTS
immune cells,single-agent therapy,activate,1,1,['37386922.txt'],INTERACTS
immune cells,colorectal cancer,inhibit,1,1,['38137417.txt'],INTERACTS
immune cells,bmdms,activate,1,1,['38041778.txt'],INTERACTS
immune cells,tumor cells,activate,5,5,"['37587450.txt', '35269507.txt', '38952097.txt', '36761751.txt', '38979417.txt']",INTERACTS
immune cells,cytotoxic t cells,activate,5,5,"['38941478.txt', '38708176.txt', '36923311.txt', '35051263.txt', '39094178.txt']",INTERACTS
immune cells,neoplastic cell development,inhibit,1,1,['35967413.txt'],INTERACTS
immune cells,anti-tumor immunity,activate,2,2,"['34830312.txt', '37056782.txt']",INTERACTS
immune cells,multiple myeloma,activate,1,1,['38090582.txt'],INTERACTS
immune cells,tumor progression,activate,3,3,"['35871139.txt', '36918222.txt', '34808386.txt']",INTERACTS
immune cells,tumor growth,inhibit,7,7,"['37662949.txt', '34778376.txt', '39180206.txt', '36305711.txt', '37833072.txt', '35641483.txt', '38941667.txt']",INTERACTS
immune cells,tumors,activate,2,2,"['35417831.txt', '34768814.txt']",INTERACTS
immune cells,tumor amino acid metabolism,activate,1,1,['37321900.txt'],INTERACTS
immune cells,colitis,activate,1,1,['34777387.txt'],INTERACTS
immune cells,protective immune cell populations,activate,1,1,['37662949.txt'],INTERACTS
immune cells,nk cells,inhibit,1,1,['35323826.txt'],INTERACTS
immune cells,PDCD1,inhibit,3,3,"['39255678.txt', '38503922.txt', '35254478.txt']",INTERACTS
immune cells,neurotransmitters,activate,1,1,['37952833.txt'],INTERACTS
immune cells,neuroinflammation,inhibit,1,1,['36411380.txt'],INTERACTS
immune cells,meningeal barrier leakage,inhibit,1,1,['36411380.txt'],INTERACTS
immune cells,reactive oxidative species,inhibit,1,1,['36411380.txt'],INTERACTS
immune cells,learning and memory,activate,1,1,['36411380.txt'],INTERACTS
immune cells,autoimmune diseases,activate,4,4,"['36346550.txt', '38935299.txt', '38863695.txt', '36638191.txt']",INTERACTS
immune cells,T cell exhaustion,inhibit,1,1,['38040834.txt'],INTERACTS
immune cells,car t cells,activate,4,4,"['37587450.txt', '36745870.txt', '38145710.txt', '34788079.txt']",INTERACTS
immune cells,characteristic expression profiles,activate,1,1,['38790160.txt'],INTERACTS
immune cells,pituitary oncogenesis,activate,1,1,['38790160.txt'],INTERACTS
immune cells,IL15,activate,1,1,['37923822.txt'],INTERACTS
immune cells,IL15RA,activate,1,1,['37923822.txt'],INTERACTS
immune cells,antitumor immune response,activate,1,1,['35800155.txt'],INTERACTS
immune cells,CD8T,activate,1,1,['35323826.txt'],INTERACTS
immune cells,tc1,activate,1,1,['35323826.txt'],INTERACTS
immune cells,lymphocytes,inhibit,1,1,['38972147.txt'],INTERACTS
immune cells,tumor immunity,activate,4,4,"['39197918.txt', '38180327.txt', '37251372.txt', '36776340.txt']",INTERACTS
immune cells,immune-tumor cell-cell interactions,activate,1,1,['38575346.txt'],INTERACTS
immune cells,th17 cells,activate,2,2,"['36528755.txt', '35298721.txt']",INTERACTS
immune cells,cancer progression,inhibit,3,3,"['38782996.txt', '37322134.txt', '38358061.txt']",INTERACTS
immune cells,breast cancer,activate,2,2,"['34761735.txt', '38892411.txt']",INTERACTS
immune cells,tme,activate,3,3,"['38953027.txt', '38810695.txt', '38744178.txt']",INTERACTS
immune cells,mait cells,activate,1,1,['38663315.txt'],INTERACTS
immune cells,anti-tumor effects,activate,1,1,['38663315.txt'],INTERACTS
immune cells,antitumor immune responses,activate,3,3,"['38986820.txt', '38453818.txt', '37400315.txt']",INTERACTS
immune cells,b lymphocytes,activate,1,1,['39111147.txt'],INTERACTS
immune cells,monocytes,inhibit,1,1,['38972147.txt'],INTERACTS
immune cells,t lymphocytes,activate,4,4,"['35686237.txt', '37935854.txt', '38690275.txt', '39111147.txt']",INTERACTS
immune cells,cd4,activate,2,2,"['35718340.txt', '36218032.txt']",INTERACTS
immune cells,antitumor t cells,activate,1,1,['38777826.txt'],INTERACTS
immune cells,cd8 + t cells,activate,1,1,['38777826.txt'],INTERACTS
immune cells,immune-mediated acute liver injury,activate,1,1,['39126326.txt'],INTERACTS
immune cells,dendritic cells,activate,9,9,"['34972961.txt', '38952097.txt', '38657500.txt', '38878479.txt', '38453818.txt', '37715090.txt', '35849045.txt', '39094178.txt', '38841885.txt']",INTERACTS
immune cells,immune,activate,1,1,['38453818.txt'],INTERACTS
immune cells,CCL3,activate,1,1,['38437646.txt'],INTERACTS
immune cells,gliomas,activate,1,1,['38437646.txt'],INTERACTS
immune cells,TAMS,activate,1,1,['38437646.txt'],INTERACTS
immune cells,keratinocytes,activate,1,1,['38841885.txt'],INTERACTS
immune cells,basal cells,activate,2,2,"['38100545.txt', '38841885.txt']",INTERACTS
immune cells,natural killer t cells,activate,2,2,"['38841885.txt', '38413984.txt']",INTERACTS
immune cells,differentiated cells,activate,1,1,['38841885.txt'],INTERACTS
immune cells,adaptive immune responses,activate,2,2,"['38841885.txt', '38054006.txt']",INTERACTS
immune cells,transformed cells,activate,1,1,['37871202.txt'],INTERACTS
immune cells,melanoma,activate,2,2,"['37104722.txt', '37193189.txt']",INTERACTS
immune cells,ferroptotic cancer cells,inhibit,1,1,['38368244.txt'],INTERACTS
immune cells,malignant cells,inhibit,4,4,"['38368244.txt', '38225927.txt', '36769513.txt', '38520726.txt']",INTERACTS
immune cells,elicit adaptive immune responses,activate,1,1,['38368244.txt'],INTERACTS
immune cells,anticancer immunity,activate,1,1,['38368244.txt'],INTERACTS
immune cells,hypertension,activate,1,1,['37034287.txt'],INTERACTS
immune cells,immune cell changes,activate,1,1,['37034287.txt'],INTERACTS
immune cells,regulatory t cells,activate,2,2,"['38708176.txt', '38901326.txt']",INTERACTS
immune cells,equine peripheral blood lymphocytes,activate,1,1,['38901326.txt'],INTERACTS
immune cells,chronic inflammation,activate,2,2,"['38901326.txt', '35430876.txt']",INTERACTS
immune cells,immune tolerance,activate,2,2,"['38650927.txt', '38901326.txt']",INTERACTS
immune cells,bone pre-metastatic niche,activate,1,1,['37832903.txt'],INTERACTS
immune cells,tumor initiation,activate,1,1,['38650927.txt'],INTERACTS
immune cells,leukaemia,inhibit,1,1,['38987489.txt'],INTERACTS
immune cells,immune effector cells,activate,2,2,"['37935854.txt', '38987489.txt']",INTERACTS
immune cells,leukaemia cells,inhibit,1,1,['38987489.txt'],INTERACTS
immune cells,cell-mediated immunity,activate,1,1,['36761751.txt'],INTERACTS
immune cells,tumor burdens,activate,1,1,['36016924.txt'],INTERACTS
immune cells,dcs,activate,2,2,"['37526080.txt', '37715090.txt']",INTERACTS
immune cells,cytotoxic t lymphocytes,activate,2,2,"['35686237.txt', '37715090.txt']",INTERACTS
immune cells,mdscs,activate,1,1,['37715090.txt'],INTERACTS
immune cells,mammalian cells,activate,1,1,['37715090.txt'],INTERACTS
immune cells,antigen-specific immune response,activate,1,1,['36058002.txt'],INTERACTS
immune cells,anti-tumoral immunity,activate,1,1,['36058002.txt'],INTERACTS
immune cells,PDCD1LG2,inhibit,2,2,"['39255678.txt', '35254478.txt']",INTERACTS
immune cells,CD80,inhibit,1,1,['35254478.txt'],INTERACTS
immune cells,disease progression,activate,3,3,"['36528755.txt', '39076992.txt', '35430876.txt']",INTERACTS
immune cells,lymph follicles,activate,1,1,['38982122.txt'],INTERACTS
immune cells,CD8 T cell,activate,1,1,['35902637.txt'],INTERACTS
immune cells,Tfh,activate,1,1,['35902637.txt'],INTERACTS
