"","Score","P.value","CI_Lower","CI_Upper"
"intra-pancreatic inoculation",4.2e-05,0.039,6e-06,5.1e-05
"focal cell death",4.2e-05,0.041,6e-06,5.2e-05
"intratumor microbiota",4.2e-05,0.042,6e-06,5.9e-05
"cellular proliferation",3.4e-05,0.033,2e-06,4e-05
"cell proliferation-inhibiting bystander effects",3.4e-05,0.029,2e-06,3.6e-05
"human lung epithelial development",3.4e-05,0.046,6e-06,4.9e-05
"metabolic dysfunction-associated steatohepatitis",3.4e-05,0.038,1e-06,5.7e-05
"gastric adenocarcinoma tissues",3.2e-05,0.05,1e-06,7e-05
"cancer formation",3.2e-05,0.049,1e-06,7.4e-05
"tumor growth dynamics",3.2e-05,0.049,1e-06,7e-05
"cancer burden",3.2e-05,0.05,1e-06,7e-05
"cytokine-mediated cancer immunotherapy",3.1e-05,0.041,2e-06,3.5e-05
"cardiac xenotransplantation",2.9e-05,0.03,5e-06,3.7e-05
"melanoma metastases",2.7e-05,0.049,4e-06,9.2e-05
"robust transduction",2.4e-05,0.035,4e-06,3.5e-05
"myeloid cell infiltration",2.4e-05,0.049,2e-06,3.9e-05
"irreversible cirrhosis",2.3e-05,0.046,2e-06,0.000126
"systemic antitumor immunity",2.2e-05,0.021,6e-06,2.1e-05
"leukemia/lymphoma conditions",2.2e-05,0.036,2e-06,4.3e-05
"increased fibrosis",1.8e-05,0.035,0,2.9e-05
"human immune function",1.7e-05,0.036,1e-06,8e-05
"immune cell recruitment",1.4e-05,0.032,1e-06,1.6e-05
"reduced terminal exhaustion",1.3e-05,0.01,0,8e-06
"increased memory cell characteristics",1.3e-05,0.011,0,8e-06
"extracellular matrix proteins",1.2e-05,0.045,1e-06,6.5e-05
"adaptive anti-tumor immunity",1.1e-05,0.015,1e-06,1e-05
"dense tumor infiltration",1e-05,0.01,0,6e-06
"endogenous adaptive antitumour immunity",1e-05,0.009,0,1e-06
"post-ablation immune therapy",9e-06,0.011,0,1e-06
"cervical cancers",8e-06,0.05,1e-06,1.5e-05
"chronic obstructive pulmonary disease",7e-06,0.042,0,2e-05
"cystic fibrosis",7e-06,0.034,0,9e-06
"cell-cycle progression",6e-06,0.015,0,3e-06
"significant tumor growth inhibition",5e-06,0.032,0,5e-06
"ovarian pathogenesis",4e-06,0.035,0,9e-06
"myocardial necrosis",3e-06,0.047,0,4e-06
"immuno-oncology targets",3e-06,0.027,0,3e-06
"antibody function",3e-06,0.027,0,3e-06
"spontaneous regression",3e-06,0.029,0,3e-06
"autoimmune reactions",3e-06,0.031,0,3e-06
"tumor-infiltrating immunosuppressive leukocytes",3e-06,0.031,0,3e-06
"excessive immune response",3e-06,0.03,0,3e-06
"mixed inflammation",3e-06,0.026,0,3e-06
"lymphocyte activatory receptors",3e-06,0.034,0,3e-06
"lysine-9 methyl-transferase",2e-06,0.029,0,2e-06
"antitumor functions",2e-06,0.038,0,1.5e-05
"host antitumor immunity",1e-06,0.041,0,1e-06
"anti-tumor dysfunction",1e-06,0.044,0,2e-06
"oncogenic viruses",0,0.037,0,0
